ticket_number,max_score,last_score,last_event_time,blocked
883-10-19722-1,0.1156477028079974,0.04606649730588284,2026-03-05 12:47:31,False
883-10-19723-1,0.15111251143895674,0.0346467432921075,2026-03-05 12:51:36,False
883-10-19724-1,0.1156477028079974,0.04606649730588284,2026-03-05 12:47:27,False
883-10-19725-1,0.20030870576643225,0.0342379598940821,2026-03-05 12:47:33,False
883-10-19726-1,0.1184871490638464,0.057782642972719074,2026-03-05 12:47:27,False
883-10-19727-1,0.10282941913908575,0.015516763855527594,2026-03-05 14:29:26,False
883-10-19728-1,0.10282941913908575,0.015516763855527594,2026-03-05 14:29:28,False
883-10-19729-1,0.10288004653362039,0.034716481772481565,2026-03-05 14:17:00,False
883-10-19730-1,0.10061344475601793,0.10061344475601793,2026-03-05 13:21:52,False
883-10-19731-1,0.07530365314198578,0.07530365314198578,2026-03-05 11:26:58,False
883-10-19732-1,0.07832208236912824,0.022882813240192822,2026-03-05 14:30:56,False
883-10-19733-1,0.13860635091039072,0.04818402807504904,2026-03-05 11:57:31,False
883-10-19734-1,0.13626236863727714,0.06993960771309565,2026-03-05 16:22:30,False
883-10-19735-1,0.1491255278914999,0.07563406162074268,2026-03-05 16:22:32,False
883-10-19736-1,0.0570390990125791,0.030947980815832624,2026-03-05 13:53:21,False
883-10-19737-1,0.1327435156989839,0.03192264767720061,2026-03-05 13:52:30,False
883-10-19738-1,0.1327435156989839,0.03192264767720061,2026-03-05 13:52:27,False
883-10-19739-1,0.1327435156989839,0.03192264767720061,2026-03-05 13:52:22,False
883-10-19740-1,0.11696605168500109,0.06286053528458063,2026-03-05 12:47:42,False
883-10-19741-1,0.022086226980860414,0.014082555852965624,2026-03-05 13:43:05,False
883-10-19742-1,0.06748955023173578,0.022804830656683303,2026-03-05 14:35:37,False
883-10-19743-1,0.10791333790993832,0.009063025023294435,2026-03-05 15:45:46,False
883-10-19744-1,0.060218754890594056,0.011987944120671922,2026-03-05 15:45:48,False
883-10-19745-1,0.02005363170987913,0.014770791721350705,2026-03-05 13:04:11,False
883-10-19746-1,0.062207109587442515,0.013156678281435925,2026-03-05 15:53:10,False
883-10-19747-1,0.062207109587442515,0.042518493715092524,2026-03-05 13:37:01,False
883-10-19748-1,0.6705234326369661,0.0114906462589889,2026-03-05 16:11:10,False
883-10-19749-1,0.6705234326369661,0.0114906462589889,2026-03-05 16:11:26,False
883-10-19750-1,0.11322409890583159,0.04095630576854649,2026-03-05 12:53:09,False
883-10-19751-1,0.04911191411059708,0.020858956067658516,2026-03-05 14:40:46,False
883-10-19752-1,0.03570582056386599,0.020819575044113584,2026-03-05 13:56:29,False
883-10-19753-1,0.03570582056386599,0.020819575044113584,2026-03-05 13:56:33,False
883-10-19754-1,0.04911191411059708,0.02875746964521507,2026-03-05 13:36:24,False
