ticket_number,max_score,last_score,last_event_time,blocked
883-1-96319-1,0.19838818547229045,0.19838818547229045,2026-03-18 12:33:22,False
883-1-96320-1,0.2082183011058386,0.04317277189610116,2026-03-18 13:18:23,False
883-1-96321-1,0.11155636839539645,0.09619497486005299,2026-03-18 10:37:57,False
883-1-96323-1,0.11724891632121015,0.010345610619230228,2026-03-18 15:38:09,False
883-1-96324-1,0.11724891632121015,0.0377107588548147,2026-03-18 14:20:06,False
883-1-96326-1,0.0570390990125791,0.02095213362223414,2026-03-18 12:29:28,False
883-1-96327-1,0.0570390990125791,0.02095213362223414,2026-03-18 12:29:42,False
883-1-96328-1,0.08949021866604243,0.011615679072573383,2026-03-18 15:05:48,False
883-1-96329-1,0.09608353198730456,0.014176712848550346,2026-03-18 15:59:10,False
883-1-96330-1,0.09608353198730456,0.011615679072573383,2026-03-18 15:05:45,False
883-1-96331-1,0.12166597505192747,0.024519134556609572,2026-03-18 14:54:31,False
883-1-96332-1,0.12166597505192747,0.024519134556609572,2026-03-18 14:54:34,False
883-1-96335-1,0.10841397805504666,0.02499907979481193,2026-03-18 12:38:45,False
883-1-96336-1,0.11341448470482104,0.024453494670195204,2026-03-18 15:08:51,False
883-1-96337-1,0.11341448470482104,0.02194178687430234,2026-03-18 14:09:58,False
883-1-96339-1,0.06901907450932906,0.02000787563285549,2026-03-18 12:53:53,False
883-1-96340-1,0.07478718429577677,0.027800108383647295,2026-03-18 14:19:13,False
883-1-96341-1,0.07478718429577677,0.020909867060882083,2026-03-18 14:03:36,False
883-1-96342-1,0.09968287049388917,0.014176712848550346,2026-03-18 15:14:06,False
883-1-96343-1,0.09968287049388917,0.014176712848550346,2026-03-18 15:14:11,False
883-1-96344-1,0.12891602446974856,0.08276917812313206,2026-03-18 12:59:41,False
883-1-96346-1,0.076500437205508,0.020559638257099895,2026-03-18 12:07:46,False
883-1-96347-1,0.076500437205508,0.020559638257099895,2026-03-18 12:07:47,False
